,EventID,Start_Time,End_Time,Year,Month,Facility_Code,Participant_Code,Status,Outage_Reason,Energy_Lost_MW,Description_Of_Outage,Outage_Duration_In_Days,Risk_Classification
40,41,18/12/17 17:30,18/12/17 17:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,20.92,Deviation from resource plan,0,High Risk
41,42,18/12/17 16:30,18/12/17 16:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,22.94,Deviation from resource plan,0,High Risk
42,43,29/12/17 15:30,29/12/17 17:30,2017,12,MELK_G7,MELK,Approved,Opportunistic Maintenance (Planned),120,Reduced Load,0.083333333,N/A
43,44,30/12/17 0:00,30/12/17 0:00,2017,12,AUXC_WGP,AUXC,Approved,Forced,12.87,Refinery Issues - Steam/Power Imbalance,0,High Risk
44,45,22/12/17 20:00,23/12/17 1:30,2017,12,STHRNCRS_EG,STHRNCRS,Approved,Forced,23,"KNS GT Tripped on vibration alarm, 4 hour lock out.",0.229166667,Medium Risk
45,46,22/12/17 13:00,22/12/17 13:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,34.411,Output reduced due to ambient conditions,0,High Risk
46,47,23/12/17 0:30,23/12/17 0:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,36.676,Output reduced due to ambient conditions,0,High Risk
47,48,21/12/17 9:30,21/12/17 9:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,19.051,Unit slow to ramp up,0,High Risk
48,49,21/12/17 9:00,21/12/17 9:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,63.218,Unit slow to ramp up,0,High Risk
49,50,21/12/17 8:00,21/12/17 8:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,119.31,Unit slow to ramp up,0,High Risk
50,51,21/12/17 7:30,21/12/17 7:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
51,52,21/12/17 7:00,21/12/17 7:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
52,53,21/12/17 6:30,21/12/17 6:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
53,54,21/12/17 6:00,21/12/17 6:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
54,55,21/12/17 5:30,21/12/17 5:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
55,56,21/12/17 5:00,21/12/17 5:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
56,57,21/12/17 4:30,21/12/17 4:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
57,58,21/12/17 4:00,21/12/17 4:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
58,59,21/12/17 3:30,21/12/17 3:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
59,60,21/12/17 3:00,21/12/17 3:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
60,61,21/12/17 2:30,21/12/17 2:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
61,62,21/12/17 2:00,21/12/17 2:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
62,63,21/12/17 1:30,21/12/17 1:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
63,64,21/12/17 1:00,21/12/17 1:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
64,65,21/12/17 12:30,21/12/17 12:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
65,66,21/12/17 12:00,21/12/17 12:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
66,67,20/12/17 23:30,20/12/17 23:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
67,68,20/12/17 23:00,20/12/17 23:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
68,69,20/12/17 22:30,20/12/17 22:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
69,70,20/12/17 22:00,20/12/17 22:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
70,71,20/12/17 21:30,20/12/17 21:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
71,72,20/12/17 21:00,20/12/17 21:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
72,73,20/12/17 20:30,20/12/17 20:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
73,74,20/12/17 20:00,20/12/17 20:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
74,75,20/12/17 19:30,20/12/17 19:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
75,76,20/12/17 19:00,20/12/17 19:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
76,77,20/12/17 18:30,20/12/17 18:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
77,78,20/12/17 18:00,20/12/17 18:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
78,79,20/12/17 17:30,20/12/17 17:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
79,80,20/12/17 17:00,20/12/17 17:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
80,81,20/12/17 16:30,20/12/17 16:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
81,82,20/12/17 16:00,20/12/17 16:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
82,83,20/12/17 15:30,20/12/17 15:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
83,84,20/12/17 15:00,20/12/17 15:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
84,85,20/12/17 14:30,20/12/17 14:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
85,86,20/12/17 14:00,20/12/17 14:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
86,87,20/12/17 13:30,20/12/17 13:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
87,88,20/12/17 13:00,20/12/17 13:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
88,89,21/12/17 0:30,21/12/17 0:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
89,90,21/12/17 0:00,21/12/17 0:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
90,91,20/12/17 11:30,20/12/17 11:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
91,92,20/12/17 11:00,20/12/17 11:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,143,Full unit trip,0,High Risk
92,93,20/12/17 10:30,20/12/17 10:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,27.866,Full unit trip,0,High Risk
93,94,26/12/17 6:00,26/12/17 6:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.628,Output reduced due to ambient conditions,0,High Risk
94,95,26/12/17 5:30,26/12/17 5:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.405,Output reduced due to ambient conditions,0,High Risk
95,96,26/12/17 5:00,26/12/17 5:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,2.771,Output reduced due to ambient conditions,0,High Risk
96,97,26/12/17 4:30,26/12/17 4:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,2.504,Output reduced due to ambient conditions,0,High Risk
97,98,25/12/17 18:30,25/12/17 18:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.459,Output reduced due to ambient conditions,0,High Risk
98,99,25/12/17 18:00,25/12/17 18:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.763,Output reduced due to ambient conditions,0,High Risk
99,100,25/12/17 17:30,25/12/17 17:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.444,Output reduced due to ambient conditions,0,High Risk
100,101,25/12/17 17:00,25/12/17 17:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.763,Output reduced due to ambient conditions,0,High Risk
101,102,25/12/17 16:30,25/12/17 16:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,6.539,Output reduced due to ambient conditions,0,High Risk
102,103,25/12/17 3:00,25/12/17 3:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,2.842,Output reduced due to ambient conditions,0,High Risk
103,104,23/12/17 21:30,23/12/17 21:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.84,Output reduced due to ambient conditions,0,High Risk
104,105,23/12/17 21:00,23/12/17 21:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.586,Output reduced due to ambient conditions,0,High Risk
105,106,23/12/17 20:30,23/12/17 20:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.137,Output reduced due to ambient conditions,0,High Risk
106,107,23/12/17 20:00,23/12/17 20:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.696,Output reduced due to ambient conditions,0,High Risk
107,108,21/12/17 11:00,21/12/17 11:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,12.358,Output reduced due to ambient conditions,0,High Risk
108,109,21/12/17 10:30,21/12/17 10:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,20.639,Output reduced due to ambient conditions,0,High Risk
109,110,21/12/17 9:30,21/12/17 9:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,13.241,Output reduced due to ambient conditions,0,High Risk
110,111,21/12/17 9:00,21/12/17 9:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,12.68,Output reduced due to ambient conditions,0,High Risk
111,112,21/12/17 8:30,21/12/17 8:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,10.234,Output reduced due to ambient conditions,0,High Risk
112,113,20/12/17 18:30,20/12/17 18:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,7.698,Output reduced due to ambient conditions,0,High Risk
113,114,25/12/17 11:30,25/12/17 11:30,2017,12,AUXC_WGP,AUXC,Approved,Forced,13.74,Plant steam imbalance,0,High Risk
114,115,25/12/17 11:00,25/12/17 11:00,2017,12,AUXC_WGP,AUXC,Approved,Forced,17.26,Plant steam imbalance,0,High Risk
115,116,25/12/17 10:30,25/12/17 10:30,2017,12,AUXC_WGP,AUXC,Approved,Forced,14.01,Steam plant imbalance.,0,High Risk
116,117,18/12/17 16:00,18/12/17 16:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,89.1,Wind farm tripped,0,High Risk
117,118,14/12/17 10:30,14/12/17 10:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,164.4,Slow to ramp up,0,High Risk
118,119,17/12/17 14:30,17/12/17 14:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,26.17,Slow to ramp up,0,High Risk
119,120,08/12/17 15:00,08/12/17 15:30,2017,12,STHRNCRS_EG,STHRNCRS,Approved,Forced,11,An unplanned load increase (?behind-the-fence?) led to a reduction in available capacity,0.020833333,Medium Risk
120,121,20/12/17 18:00,20/12/17 18:00,2017,12,KORL_GT3,KORL,Approved,Forced,68.16,Partial forced outage due to failed NOx water injection,0,High Risk
121,122,21/12/17 9:30,21/12/17 15:00,2017,12,PJRH_GT11,PJRH,Approved,Opportunistic Maintenance (Planned),118.609,ODOM to rectify leaking generator jacking oil system,0.229166667,N/A
122,123,21/12/17 13:30,21/12/17 15:30,2017,12,PJRH_GT11,PJRH,Approved,Opportunistic Maintenance (Planned),118.609,ODOM to test trip settings on generator,0.083333333,N/A
123,124,18/12/17 15:00,19/12/17 11:00,2017,12,MELK_G7,MELK,Approved,Forced,18.977,High silica restriction,0.833333333,High Risk
124,125,12/12/17 15:00,13/12/17 9:00,2017,12,MELK_G7,MELK,Approved,Forced,26.108,High silica restriction,0.75,High Risk
125,126,12/12/17 10:00,12/12/17 14:30,2017,12,MELK_G7,MELK,Approved,Forced,33.108,High silica restriction,0.1875,High Risk
126,127,12/12/17 0:30,12/12/17 9:30,2017,12,MELK_G7,MELK,Approved,Forced,41.108,High silica restriction,0.375,High Risk
127,128,12/12/17 0:00,12/12/17 0:00,2017,12,MELK_G7,MELK,Approved,Forced,36.108,High silica restriction,0,High Risk
128,129,11/12/17 11:00,11/12/17 11:30,2017,12,MELK_G7,MELK,Approved,Forced,31.108,High silica restriction,0.020833333,High Risk
129,130,11/12/17 6:30,11/12/17 8:00,2017,12,MELK_G7,MELK,Approved,Forced,31.108,RAH high load,0.0625,High Risk
130,131,09/12/17 16:30,10/12/17 16:30,2017,12,MELK_G7,MELK,Approved,Forced,126.108,ID fan control limitation,1,High Risk
131,132,16/12/17 20:30,16/12/17 20:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,8.27,Deviation from resource plan,0,High Risk
132,133,16/12/17 18:30,16/12/17 18:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,14.37,Deviation from resource plan,0,High Risk
133,134,15/12/17 15:30,15/12/17 15:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,8.84,Deviation from resource plan,0,High Risk
134,135,12/12/17 20:30,12/12/17 20:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,24.06,Deviation from resource plan,0,High Risk
135,136,21/12/17 7:30,21/12/17 10:30,2017,12,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,Enable signal was removed due to switching to rectify faults on Western Power feeder. Site cannot operate without enable signal. Will request conversion to consequential.,0.125,N/A
136,137,07/12/17 18:00,31/12/17 17:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,13.288,Steam Turbine rotor maintenace,23.97916667,High Risk
137,138,11/12/17 13:30,11/12/17 18:30,2017,12,PMC_AG,PMC,Approved,Consequential,68,"APLD operated, separating PRK_AG from the SWIS",0.208333333,N/A
138,139,11/12/17 13:30,11/12/17 18:00,2017,12,STHRNCRS_EG,STHRNCRS,Approved,Consequential,23,"APLD operated, separating STHRNCRS_EG from the SWIS",0.1875,N/A
139,140,18/12/17 17:00,18/12/17 17:00,2017,12,KORL_GT3,KORL,Approved,Forced,48.16,Forced outage due to failed to synchronise,0,High Risk
140,141,15/12/17 11:30,17/12/17 7:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,10,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,1.833333333,High Risk
141,142,14/12/17 19:30,15/12/17 11:00,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,14,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,0.645833333,High Risk
142,143,14/12/17 18:00,14/12/17 19:00,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,7,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,0.041666667,High Risk
143,144,14/12/17 17:00,14/12/17 17:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,31,Forced Outage - DVAR constraint remained as a result of planned outages on 13 & 14 Dec,0.020833333,High Risk
144,145,17/12/17 8:00,17/12/17 14:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,206,"Consequential Outage - Anti-islanding issue caused by stormy weather. Collgar constrained ""to maintain security"" (WP DA#17521 & 17522)",0.270833333,N/A
145,146,14/12/17 10:00,14/12/17 15:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,154,"Consequential Outage (MU BTT3 equipment failure resulted in Collgar constraint to ""maintain system security"" (WP DA17505 & contacted via phone by Control Room to advise that the outage from 13/12/17 would resume)",0.229166667,N/A
146,147,13/12/17 16:00,13/12/17 16:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,154,"Consequential Outage (MU BTT3 equipment failure resulted in Collgar constraint to ""maintain system security"" (WP DA17505)",0.020833333,N/A
147,148,11/12/17 13:30,11/12/17 22:30,2017,12,COLLGAR_WF1,COLLGAR,Approved,Consequential,206,Consequential Outage - 220kV line tripped at 13:57 as a result of lightening (WP DA#17502),0.375,N/A
148,149,18/12/17 10:00,18/12/17 10:00,2017,12,KORL_GT3,KORL,Approved,Forced,82.56,Forced outage due to communication errors,0,High Risk
149,150,17/12/17 18:30,18/12/17 9:30,2017,12,KORL_GT3,KORL,Approved,Forced,103.2,Forced outage due to communication errors,0.625,High Risk
150,151,17/12/17 18:00,17/12/17 18:00,2017,12,KORL_GT3,KORL,Approved,Forced,58.48,Forced outage due to communication errors,0,High Risk
151,152,18/12/17 16:30,18/12/17 18:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,44.1,Wind farm output limited,0.0625,High Risk
152,153,18/12/17 13:30,18/12/17 15:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,58,Wind farm tripped,0.083333333,High Risk
153,154,17/12/17 23:30,19/12/17 0:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,42.1,Islanded on Tronox Instructions due to Serve Weather.,1.020833333,High Risk
154,155,18/12/17 8:00,18/12/17 9:30,2017,12,MELK_G7,MELK,Approved,Forced,208.977,Delayed Unit RTS,0.0625,High Risk
155,156,17/12/17 18:00,17/12/17 18:00,2017,12,KORL_GT3,KORL,Approved,Forced,18.72,Partial Forced outage due to lose of gas compressor,0,High Risk
156,157,17/12/17 10:30,17/12/17 17:30,2017,12,KORL_GT3,KORL,Approved,Forced,43.2,Partial Forced outage due to lose of gas compressor,0.291666667,High Risk
157,158,17/12/17 17:30,17/12/17 18:00,2017,12,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,Enable signal was removed due to a Western Power feeder drop out caused by bad weather. Site cannot operate without enable signal. Will request conversion to consequential.,0.020833333,N/A
158,159,17/12/17 10:00,17/12/17 10:00,2017,12,KORL_GT3,KORL,Approved,Forced,27.36,Forced outage due to lose of gas compressor,0,High Risk
159,160,16/12/17 4:30,17/12/17 16:00,2017,12,MELK_G7,MELK,Approved,Forced,78.977,FD fan control limitation,1.479166667,High Risk
160,161,17/12/17 8:00,18/12/17 7:30,2017,12,MELK_G7,MELK,Approved,Opportunistic Maintenance (Planned),130,FD fan inspection and repairs,0.979166667,N/A
161,162,17/12/17 8:00,18/12/17 7:30,2017,12,MELK_G7,MELK,Cancelled By Market Participant,Opportunistic Maintenance (Planned),208.977,FD fan inspection and repairs,0.979166667,N/A
162,163,17/12/17 8:00,19/12/17 17:00,2017,12,MELK_G7,MELK,Cancelled By Market Participant,Scheduled (Planned),83,ID Fan East OOS,2.375,N/A
163,164,03/12/17 18:00,03/12/17 18:00,2017,12,PMC_AG,PMC,Approved,Forced,83.75,Operational issues caused real time forced outage.,0,High Risk
164,165,03/12/17 14:00,03/12/17 17:30,2017,12,PMC_AG,PMC,Approved,Forced,84.057,Operational issues caused real time forced outage.,0.145833333,High Risk
165,166,04/12/17 0:00,03/12/17 13:30,2017,12,PMC_AG,PMC,Approved,Forced,83.903,Operational issues caused real time forced outage.,0.4375,High Risk
166,167,02/12/17 23:30,02/12/17 23:30,2017,12,PMC_AG,PMC,Approved,Forced,187.837,Operational issues caused real time forced outage.,0,High Risk
167,168,02/12/17 22:00,02/12/17 23:00,2017,12,PMC_AG,PMC,Approved,Forced,252.834,Operational issues caused real time forced outage.,0.041666667,High Risk
168,169,02/12/17 19:00,02/12/17 19:00,2017,12,PMC_AG,PMC,Approved,Forced,227.081,Operational issues caused real time forced outage.,0,High Risk
169,170,02/12/17 18:30,02/12/17 18:30,2017,12,PMC_AG,PMC,Approved,Forced,274.142,Operational issues caused real time forced outage.,0,High Risk
170,171,02/12/17 14:00,02/12/17 18:00,2017,12,PMC_AG,PMC,Approved,Forced,334.796,Operational issues caused real time forced outage.,0.166666667,High Risk
171,172,08/12/17 11:00,08/12/17 11:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,25.81,Deviation from resource plan,0,High Risk
172,173,11/12/17 11:30,11/12/17 11:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,33.58,Unit did not reach target,0,High Risk
173,174,11/12/17 11:00,11/12/17 11:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,34.082,Unit did not reach target,0,High Risk
174,175,11/12/17 10:00,11/12/17 10:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,116.929,Unit did not reach target,0,High Risk
